permit_number,streetname,Cross Street 1,Cross Street 2,Permit Type,Agent,AgentPhone,Permit Purpose,Approved Date,Status,cnn,permit_zipcode,permit_start_date,permit_end_date,permit_address,24/7 Contact,Inspector,CurbRampWork,X,Y,Latitude,Longitude,Location
18CN-0111,MCALLISTER ST,JONES ST,CHARLES J BRENHAM PL,conformity,Sarah Mansoori,(415) 504-8100,,05/01/2018,ACTIVE,8888000,94102,,,54 MCALLISTER ST,Refer to Agent,Mario Novoa,,6008816.05315,2112511.76287,37.7810522790874,-122.413125237524,POINT (-122.413125237524 37.7810522790874)
18WR-0278,PARNASSUS AVE,COLE ST,SHRADER ST,Wireless,ExteNet Systems (California) LLC,415-377-7826,,10/18/2019,APPROVED,10287000,94117,10/18/2019,07/31/2030,101 PARNASSUS AVE,"Joseph Camicia, 415-722-1183",,,5998035.48139,2106782.43669,37.764709919574,-122.450007377703,POINT (-122.450007377703 37.764709919574)
20SSP-00134,CENTRAL AVE,GROVE ST,FULTON ST,StreetSpace,Leonardo Construction INC,415-425-0995,,05/04/2020,APPROVED,3865000,94117,05/07/2020,06/06/2020,609 CENTRAL AVE,415 425 0995,,,5999630.05099,2110592.09113,37.7752613825395,-122.444766057627,POINT (-122.444766057627 37.7752613825395)
20SSP-00065,27TH AVE,CALIFORNIA ST,CLEMENT ST,StreetSpace,Associated Builders,415-285-6200,,04/20/2020,ACTIVE,1545000,94121,04/22/2020,05/22/2020,371 27TH AVE,415-285-6200,,,5987425.72603,2113479.08766,37.7824842388061,-122.487195146222,POINT (-122.487195146222 37.7824842388061)
20D-00062,PACIFIC AVE,KEARNY ST,COLUMBUS AVE,Display,Oriental Gift Center,415-794-8389,"Permitted display of brooms, sponges, dish gloves, scrubbers, hand towels, toilet paper, slippers, mops, wash cloths and general non-food merchandise in the public right-of-way on 620 PACIFIC AVE between the hours of 9:30AM and 6:30PM Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday.",05/04/2020,APPROVED,10124000,94133,04/16/2020,04/15/2021,620 PACIFIC AVE,415-794-8389,,,6011146.04936504,2118312.94386299,37.7971114681045,-122.405473263002,POINT (-122.405473263002 37.7971114681045)
20EXC-01106,HOWARD ST,SPEAR ST,,Excavation,CableCom,650-520-7091,101 Mission St.,04/06/2020,ACTIVE,24547000,94105,05/04/2020,06/01/2020,101 MISSION ST,650-544-4467,Rich Rozzi,,6014423.82427,2116439.61422,37.7921504707743,-122.394000061141,POINT (-122.394000061141 37.7921504707743)
20EXC-01106,HOWARD ST,SPEAR ST,MAIN ST,Excavation,CableCom,650-520-7091,101 Mission St.,04/06/2020,ACTIVE,7029000,94105,05/04/2020,06/01/2020,101 MISSION ST,650-544-4467,Rich Rozzi,,6014423.82427,2116439.61422,37.7921504707743,-122.394000061141,POINT (-122.394000061141 37.7921504707743)
20EXC-01458,JESSIE ST,MINT PLZ \ MINT ST,06TH ST,Excavation,CableCom,650-520-7091,986 Mission St,05/13/2020,ACTIVE,7522000,94103,05/19/2020,06/16/2020,986 MISSION ST,650-544-4467,Rich Rozzi,,6010172.04451793,2112553.79699987,37.7812437247726,-122.408437132731,POINT (-122.408437132731 37.7812437247726)
20SSP-00094,GUERRERO ST,19TH ST,CUMBERLAND ST,StreetSpace,"JK Pro Roofing, Inc",415-822-2770,,04/28/2020,APPROVED,6581201,94110,05/01/2020,06/01/2020,712 GUERRERO ST,415 822 2770,Obrian Buchanan,,6005568.31344,2104791.7097,37.7596720080042,-122.423811700096,POINT (-122.423811700096 37.7596720080042)
19D-00209,SAN BRUNO AVE,BURROWS ST,BACON ST,Display,LA LOMA # 7,415-568-6638,fruits and vegetables,07/29/2019,APPROVED,11377000,94134,07/16/2019,07/15/2020,2695 SAN BRUNO AVE,Refer to Agent,,,6011184.3727,2093045.05752,37.7277336713111,-122.403561970612,POINT (-122.403561970612 37.7277336713111)
19MFF-00051,MISSION ST,06TH ST,07TH ST,FoodFac,Paradise Catering,(415) 602-5811,,07/08/2019,APPROVED,9100000,94103,07/08/2019,07/15/2020,,(415) 602-5811,,,6009763.15924,2112142.47516,37.7800914258778,-122.409822636941,POINT (-122.409822636941 37.7800914258778)
20E-00529,LEVANT ST,ROOSEVELT WAY,,ExcStreet,ACE Drilling & Excavation,415-850-2190,tranching for a temporary power for construction.,05/11/2020,APPROVED,26179000,94114,05/13/2020,06/10/2020,330 ROOSEVELT WAY,415-740-9260,,,6000406.20138,2106959.84447,37.7653324063373,-122.44182043749,POINT (-122.44182043749 37.7653324063373)
19WR-00105,CHURCH ST,CUMBERLAND ST,20TH ST,Wireless,"MODUS, INC",510-206-1674,,10/18/2019,APPROVED,4019000,94110,10/18/2019,07/31/2030,646 DOLORES ST,Refer to Agent,,,6004939.98989,2104503.95109,37.7588464004899,-122.425964275914,POINT (-122.425964275914 37.7588464004899)
19D-00225,GREENWICH ST,GOUGH ST,OCTAVIA ST,Display,Fort Mason Market & Deli,415-346-1110,,09/16/2019,APPROVED,6514000,94123,08/16/2018,08/15/2020,1701 GREENWICH ST,Refer to Agent,,,6004706.35289,2119441.99437,37.799849379021,-122.427836694765,POINT (-122.427836694765 37.799849379021)
19EXC-02923,CROSSOVER DR,PARK PRESIDIO BYPASS DR,MARTIN LUTHER KING JR DR,Excavation,Ghilotti Bros. Construction,415-760-0025,SF-1 19th Ave/Park Presidio Blvd. Rehabilitate Roadway & Replace Signals Project (04-4k1104),07/26/2019,ACTIVE,4538101,94117,06/17/2019,06/19/2020,,415-454-7011,Marc Anthony Bura,,5989899.60147,2108397.59661,37.7686758113862,-122.478265044042,POINT (-122.478265044042 37.7686758113862)
20SSP-00140,22ND ST,BRYANT ST,FLORIDA ST,StreetSpace,Gil Construction,(650) 992-7800,,05/04/2020,APPROVED,1182000,94110,05/08/2020,07/07/2020,2774 22ND ST,650 992-7800,,,6009478.23245,2103394.19215,37.7560546881552,-122.410190511154,POINT (-122.410190511154 37.7560546881552)
19EXC-04152,GEARY ST,POLK ST,GEARY BLVD \ VAN NESS AVE,Excavation,Mitchell Engineering. Inc.,(415) 589-7312,GEARY RAPID EAST OF VAN NESS,08/16/2019,APPROVED,6118000,94109,08/19/2019,09/11/2021,,MICHAEL MUIRURI-415-589-7310,Eric Lee,,6006701.52884,2114280.30864,37.7857893408225,-122.420566021914,POINT (-122.420566021914 37.7857893408225)
20TC-00079,CHURCH ST,DAY ST,30TH ST,TableChair,Toast Eatery,(415) 608-2318,,02/12/2020,APPROVED,4038000,94131,02/16/2020,02/15/2021,1748 CHURCH ST,Refer to Agent,,,6004589.7618,2098743.79064,37.743010540161,-122.426765322103,POINT (-122.426765322103 37.743010540161)
19MFF-00051,GRACE ST,MISSION ST,HOWARD ST,FoodFac,Paradise Catering,(415) 602-5811,,07/08/2019,APPROVED,6354000,94103,07/08/2019,07/15/2020,,(415) 602-5811,,,6008311.78829,2110315.18505,37.7749926780906,-122.414714250362,POINT (-122.414714250362 37.7749926780906)
18WR-0126,GREEN ST,VARENNES ST,GRANT AVE,Wireless,AT&T Mobility,650-991-4094,,08/08/2018,APPROVED,6450000,94133,08/08/2018,05/31/2029,1352 GRANT AVE,Refer to Agent,,,6010651.76361,2119208.65541,37.7995432238932,-122.40724679545,POINT (-122.40724679545 37.7995432238932)
19EXC-06643,KIRKHAM ST,44TH AVE,45TH AVE,Excavation,LC General Engineering & Construction,415-307-2765,SIRP 143 - La Playa/Kirkham,11/14/2019,APPROVED,7884000,94122,12/02/2019,05/29/2020,,Wei Liao (415) 307-2765,Nick Haase,,5982329.75947,2104899.91868,37.758629854007,-122.504188966677,POINT (-122.504188966677 37.758629854007)
19WR-00124,22ND AVE,LINCOLN WAY,IRVING ST,Wireless,"Crown Castle USA, Inc.",408-468-5575,,01/09/2020,APPROVED,1139000,94122,01/09/2020,10/31/2030,1278 22ND AVE,Refer to Agent,,,5989301.03167,2106652.53931,37.763849594561,-122.480207690123,POINT (-122.480207690123 37.763849594561)
20EXC-01616,POWELL ST,ELLIS ST,OFARRELL ST,Excavation,A. Ruiz Construction Co.,(415) 647-4010,Muni Forward #5,04/24/2020,APPROVED,10676000,94102,04/28/2020,06/26/2020,,Joseph Gonzales 415-559-0651,Peter Liu,,6010349.35834,2114264.40349,37.7859505732307,-122.407944377697,POINT (-122.407944377697 37.7859505732307)
19MFF-00130,BRYANT ST,04TH ST \ I-80 E OFF RAMP,05TH ST \ I-80 E ON RAMP,FoodFac,Cochinita,650-422-9222,,01/07/2020,APPROVED,3285000,94107,01/07/2020,07/15/2020,,Refer to Agent,,,6012828.18311,2111567.1302,37.7786829525481,-122.399178863062,POINT (-122.399178863062 37.7786829525481)
19EXC-06643,46TH AVE,JUDAH ST,KIRKHAM ST,Excavation,LC General Engineering & Construction,415-307-2765,SIRP 143 - La Playa/Kirkham,11/14/2019,APPROVED,2022000,94122,12/02/2019,05/29/2020,,Wei Liao (415) 307-2765,Nick Haase,,5981852.81099,2105224.12194,37.759491962677,-122.505862478077,POINT (-122.505862478077 37.759491962677)
19EXC-06643,LA PLAYA,GREAT HWY \ LAWTON ST,GREAT HWY,Excavation,LC General Engineering & Construction,415-307-2765,SIRP 143 - La Playa/Kirkham,11/14/2019,APPROVED,8512001,94122,12/02/2019,05/29/2020,,Wei Liao (415) 307-2765,Nick Haase,,5980958.93105,2104070.30447,37.7562712565022,-122.508868231282,POINT (-122.508868231282 37.7562712565022)
20TOC-03522,MANSELL ST,SALINAS AVE \ SAN BRUNO AVE,GIRARD ST,TempOccup,Champion Cleaning Specialists Inc.,513-379-7456,,05/11/2020,APPROVED,8665101,94134,06/04/2020,06/05/2020,921 GIRARD ST,650-347-6300,,,6011628.88957,2090624.09663,37.7211110301238,-122.401855152226,POINT (-122.401855152226 37.7211110301238)
17WR-0314,PARNASSUS AVE,SHRADER ST,STANYAN ST,Wireless,Verizon Wireless,415-806-2323,,02/06/2019,APPROVED,10288000,94117,,11/30/2029,156 PARNASSUS AVE,Refer to Agent,,,5997608.60265,2106808.51997,37.7647571020965,-122.451485713149,POINT (-122.451485713149 37.7647571020965)
20TOC-03041,HAIGHT ST,CLAYTON ST,BELVEDERE ST,TempOccup,DPW-BSES,415-641-2626,,04/17/2020,APPROVED,6620000,94117,04/17/2020,07/31/2020,1600 HAIGHT ST,415-695-2134,,,5998388.75758,2108663.23739,37.7698943296141,-122.44892098414,POINT (-122.44892098414 37.7698943296141)
20EXC-00687,LAGUNA HONDA BLVD,DEWEY BLVD,WOODSIDE AVE,Excavation,Bay Area Lightworks,415-822-2336,"Contract No. 34 - Traffic Signal Modifications, Contract ID No. 1000007419",02/14/2020,APPROVED,7991201,94127,02/21/2020,08/11/2020,,Jim Lau 415-822-2336,Stephen Pereira Schork,,5995298.14271,2100385.65504,37.7469889727504,-122.459011847747,POINT (-122.459011847747 37.7469889727504)
20EXC-00687,PINE ST,BATTERY ST,SANSOME ST,Excavation,Bay Area Lightworks,415-822-2336,"Contract No. 34 - Traffic Signal Modifications, Contract ID No. 1000007419",02/14/2020,APPROVED,10455000,94104,02/21/2020,08/11/2020,,Jim Lau 415-822-2336,Stephen Pereira Schork,,6012590.11329,2116488.69917,37.7921831632947,-122.400348217637,POINT (-122.400348217637 37.7921831632947)
20SSP-00247,WASHINGTON ST,CHERRY ST,ARGUELLO BLVD \ PRESIDIO TER,StreetSpace,CARDEA BLDG DBA DIMENSION DESIGN GROUP,415 407 6425,,05/11/2020,APPROVED,13452000,94118,05/11/2020,11/10/2020,3938 WASHINGTON ST,415 407 6425,,,5995867.73311,2115555.32692,37.788673684515,-122.458139977527,POINT (-122.458139977527 37.788673684515)
18MSE-0687,CAMBRIDGE ST,FELTON ST,BURROWS ST,MinorEnc,"KCA Engineers, Inc.",(415) 546-7111,Shoring system with tie-backs encroaching onto Cambridge St public right of way.,03/08/2019,ACTIVE,3624000,94134,,,495 CAMBRIDGE ST,Refer to Agent,Anthony Alonzo,,6007022.47457,2092340.54398,37.7255658741433,-122.417899836568,POINT (-122.417899836568 37.7255658741433)
20EXC-00141,HARRISON ST,25TH ST,26TH ST,Excavation,Bay Area Lightworks,415-822-2336,"CURB RAMPS #13 VARIOUS LOCATIONS, CONTRACT ID NO. 1000009580",03/25/2020,APPROVED,6758000,94110,03/30/2020,12/14/2020,,Bay Area Lightworks 415-822-2336,,,6009007.46049,2101284.31829,37.7502350488882,-122.411669533584,POINT (-122.411669533584 37.7502350488882)
20SSP-00268,22ND ST,SANCHEZ ST,NOE ST,StreetSpace,Christopher Gate Construction,415-350-6150,,05/11/2020,APPROVED,1203000,94114,05/25/2020,07/25/2020,3704 22ND ST,415-350-6150,,,6003648.06892,2103071.7863,37.7548409179694,-122.430330157662,POINT (-122.430330157662 37.7548409179694)
19TC-00613,VALENCIA ST,18TH ST,19TH ST,TableChair,Craftsman and Wolves,650-430-6566,"2 Tables and 4 Chairs occupying approximately 38.5 sq. ft. in the public right-of-way on 746 VALENCIA ST Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday between the hours of 7:00 AM and 8:00 PM.",11/14/2019,APPROVED,13064000,94110,11/16/2019,11/15/2020,746 VALENCIA ST,650-430-6566,Leah Lintz,,6006229.20057,2105241.38367,37.7609439939674,-122.421557953562,POINT (-122.421557953562 37.7609439939674)
19IE-00564,HAHN ST,SUNRISE WAY,,StrtImprov,Sunnydale Infrastructure LLC,,To construct infrastructure for the Phase 1 Sunnydale Hope project.,07/15/2019,APPROVED,20406000,,06/13/2019,12/31/2021,,Refer to Agent,,,6007199.88217,2086649.83274,37.7099503679871,-122.416883550475,POINT (-122.416883550475 37.7099503679871)
20TOC-03039,BRYANT ST,ALAMEDA ST,15TH ST,TempOccup,DPW-BSES,415-641-2626,,04/17/2020,APPROVED,3303000,94103,04/17/2020,07/31/2020,1645 BRYANT ST,415-695-2134,,,6009464.38537,2107133.04589,37.7663199540048,-122.410502401982,POINT (-122.410502401982 37.7663199540048)
20TOC-03040,26TH ST,HARRISON ST,TREAT AVE \ TREAT WAY,TempOccup,DPW-BSES,415-641-2626,,04/17/2020,APPROVED,1515000,94110,04/17/2020,07/31/2020,3100 26TH ST,415-695-2134,,,6008747.54199,2100981.9309,37.7493901768481,-122.412546978525,POINT (-122.412546978525 37.7493901768481)
18WR-0379,LEAVENWORTH ST,SUTTER ST,BUSH ST,Wireless,ExteNet Systems (California) LLC,415-377-7826,,10/01/2019,APPROVED,8246000,94109,10/01/2019,07/31/2030,849 LEAVENWORTH ST,"Joseph Camicia, 415-722-1183",,,6008166.36762,2115454.3324,37.7890953689292,-122.415581229034,POINT (-122.415581229034 37.7890953689292)
19TC-00554,HYDE ST,DELGADO PL,RUSSELL ST,TableChair,Za Pizza,415-771-3100,outside seating mon-thus 12pm-10pm and fri-sun 12pm-10pm,10/21/2019,APPROVED,7137000,94109,10/16/2019,10/15/2020,1919 HYDE ST,Refer to Agent,,,6007221.88099,2118917.2382,37.7985505123128,-122.419094766429,POINT (-122.419094766429 37.7985505123128)
19EXC-06989,CABRILLO ST,16TH AVE,17TH AVE,Excavation,"Precision Engineering, Inc.",415-802-8666,As Needed Main Sewer Replacement No 7 Work Order 5,03/23/2020,APPROVED,3483000,94118,03/26/2020,11/17/2020,,415-760-8718,,,5990827.44825,2110627.48028,37.7748522830222,-122.475218541656,POINT (-122.475218541656 37.7748522830222)
20EXC-01975,38TH AVE,TARAVAL ST,,Excavation,Pacific Gas & Electric,5102920681,Taraval St. Potholing - 37th ave. to 44th ave.,05/21/2020,APPROVED,23386000,,05/30/2020,06/27/2020,,415-695-3500,Teresa McNamara,,5984554.33861,2098851.24241,37.7421524296698,-122.496049239732,POINT (-122.496049239732 37.7421524296698)
20TOC-03710,BEACH ST,HYDE ST,LARKIN ST,TempOccup,"Yerba Buena Engineering and Construction, Inc.",650-219-7854,,05/18/2020,APPROVED,2846000,94109,05/20/2020,05/27/2020,,(415) 822-4400,,,6006622.0761,2121841.8794,37.8065470378348,-122.421378087721,POINT (-122.421378087721 37.8065470378348)
19EXC-07034,CLEMENT ST,38TH AVE,39TH AVE,Excavation,"Precision Engineering, Inc.",415-802-8666,As Needed Sewer No 7 - Work Order 6,12/31/2019,ACTIVE,4187000,94121,01/06/2020,07/03/2020,,415-760-8718,Ildefonso Viray,,5983909.11659,2113141.6991,37.7813521817098,-122.499335952747,POINT (-122.499335952747 37.7813521817098)
20EXC-01936,01ST ST,TEHAMA ST,CLEMENTINA ST,Excavation,CableCom,650-520-7091,405 Howard St.,05/18/2020,APPROVED,108001,94105,05/24/2020,06/21/2020,405 HOWARD ST,650-544-4467,Marc Anthony Bura,,6014038.78665,2115260.24027,37.7888907775678,-122.395249655186,POINT (-122.395249655186 37.7888907775678)
20EXC-01714,CONGDON ST,TRUMBULL ST,NEY ST,Excavation,Hernandez Engineering,4156065694,WD-2819.35 AS NEEDED WATER MAIN REPLACEMENT PROJECTTASK ORDER WD-2819.35 CATHODIC PROTECTION OF 44in STEEL PIPE AT MULTIPLE LOCATIONS,04/24/2020,ACTIVE,4329000,94112,05/04/2020,06/05/2020,,Mike Hilz 415-606-5694,JonJo Diase,,6004684.36941,2094188.6523,37.7305085066594,-122.426113982433,POINT (-122.426113982433 37.7305085066594)
19EXC-05924,BRODERICK ST,ELLIS ST,OFARRELL ST,Excavation,Pacific Gas & Electric,925-968-8248,Anza Vista,01/24/2020,APPROVED,3199000,94115,02/22/2020,06/22/2020,,415-264-6935,,,6000804.02285,2112939.84035,37.7817746300173,-122.440873486063,POINT (-122.440873486063 37.7817746300173)
19EXC-06643,46TH AVE,KIRKHAM ST,LAWTON ST,Excavation,LC General Engineering & Construction,415-307-2765,SIRP 143 - La Playa/Kirkham,11/14/2019,APPROVED,2023000,94122,12/02/2019,05/29/2020,,Wei Liao (415) 307-2765,Nick Haase,,5981876.20446,2104544.13417,37.7576262867856,-122.505731163686,POINT (-122.505731163686 37.7576262867856)
19EXC-05924,FORTUNA AVE,TERRA VISTA AVE,,Excavation,Pacific Gas & Electric,925-968-8248,Anza Vista,01/24/2020,APPROVED,26813000,,02/22/2020,06/22/2020,,415-264-6935,,,6000195.26567,2112838.02552,37.7814603835956,-122.442972180379,POINT (-122.442972180379 37.7814603835956)
19MFF-00051,BRANNAN ST,HARRIET ST,LUCERNE ST,FoodFac,Paradise Catering,(415) 602-5811,,07/08/2019,APPROVED,3083000,94103,07/08/2019,07/15/2020,,(415) 602-5811,,,6012042.64692,2109941.66371,37.7741759862263,-122.401782067278,POINT (-122.401782067278 37.7741759862263)
19MFF-00051,HARRISON ST,MERLIN ST,OAK GROVE ST,FoodFac,Paradise Catering,(415) 602-5811,,07/08/2019,APPROVED,6721000,94107,07/08/2019,07/15/2020,,(415) 602-5811,,,6011816.29575,2111476.11932,37.7783766140259,-122.402672991967,POINT (-122.402672991967 37.7783766140259)
20TOC-03044,CESAR CHAVEZ ON RAMP,25TH ST \ POTRERO AVE,HAMPSHIRE ST,TempOccup,DPW-BSES,415-641-2626,,04/17/2020,APPROVED,2500000,94110,04/17/2020,07/31/2020,1451 HAMPSHIRE ST,415-695-2134,,,6010547.72113,2101110.825,37.7498449565565,-122.406330965541,POINT (-122.406330965541 37.7498449565565)
20SSP-00039,FARALLONES ST,CAPITOL AVE,ORIZABA AVE,StreetSpace,Wickman Development and Construction,530 848 6837,,04/16/2020,APPROVED,5408000,94112,04/20/2020,10/20/2020,431 CAPITOL AVE,415 239 4511,Anthony Alonzo,,5995026.40998,2088495.52247,37.7143259355737,-122.45909065572,POINT (-122.45909065572 37.7143259355737)
19MFF-00023,MARKET ST,STEUART ST,SPEAR ST,FoodFac,Treats by the Bay LLC,510-320-6375,,09/12/2019,APPROVED,8737101,94105,09/12/2019,07/15/2020,1 MARKET ST,Refer to Agent,,,6014209.95363,2117057.65203,37.7938355695398,-122.394783364365,POINT (-122.394783364365 37.7938355695398)
19MFF-00123,MARKET ST,04TH ST \ ELLIS ST \ STOCKTON ST,POWELL ST,FoodFac,FRUITYMANIA,415-318-9795,,09/12/2019,APPROVED,8747202,94102,09/12/2019,07/15/2020,870 MARKET ST,Mayra L Valdez Camacho: 415-318-9795,,,6010596.81716,2113875.43169,37.7848964001545,-122.407060806708,POINT (-122.407060806708 37.7848964001545)
20EXC-02018,STEINER ST,PIXLEY ST,GREENWICH ST,Excavation,Pacific Gas & Electric,415-695-3500,3143 Steiner,05/21/2020,APPROVED,12152000,94123,06/01/2020,06/29/2020,,4156953330,,,6001914.30534,2119011.80528,37.7985098512456,-122.437467382061,POINT (-122.437467382061 37.7985098512456)
20SSP-00211,VALLEJO ST,DIVISADERO ST,BRODERICK ST,StreetSpace,The Toboni Group,415-359-9842,,05/08/2020,ACTIVE,13121000,94123,05/18/2020,11/18/2020,2747 VALLEJO ST,415-359-9842,George Shami,,6000411.04324,2117455.79821,37.7941518879991,-122.442557343695,POINT (-122.442557343695 37.7941518879991)
19MFF-00057,JAMESTOWN AVE,GRIFFITH ST,CORONADO ST,FoodFac,Golden Catering,(510) 375-4810,,07/15/2019,APPROVED,7428000,94124,07/15/2019,07/15/2020,,Refer to Agent,,,6014918.64116,2088892.36346,37.7165390772756,-122.390362410981,POINT (-122.390362410981 37.7165390772756)
19MFF-00130,02ND ST,BRYANT ST,TABER PL,FoodFac,Cochinita,650-422-9222,,01/07/2020,APPROVED,142000,94107,01/07/2020,07/15/2020,,Refer to Agent,,,6014512.746,2113086.88355,37.7829495859274,-122.39345764758,POINT (-122.39345764758 37.7829495859274)
20EXC-00234,LA SALLE AVE,OSCEOLA LN,GARLINGTON CT,Excavation,Michael O'Shaugnessy Construction Inc.,415-909-0742,Various Locations Pavement Restoration No. 41 and Sewer Replacement,03/12/2020,APPROVED,7929000,94124,03/18/2020,02/10/2021,,415-740-9128,,,6016863.93525,2094681.61499,37.7325429499566,-122.384041351441,POINT (-122.384041351441 37.7325429499566)
19EXC-04152,GEARY ST,KEARNY ST,GRANT AVE,Excavation,Mitchell Engineering. Inc.,(415) 589-7312,GEARY RAPID EAST OF VAN NESS,08/16/2019,APPROVED,6107000,94108,08/19/2019,09/11/2021,,MICHAEL MUIRURI-415-589-7310,Eric Lee,,6011426.11924,2114939.4376,37.7878642824658,-122.404266587769,POINT (-122.404266587769 37.7878642824658)
20SC-00298,EDDY ST,DIVISADERO ST,BRODERICK ST,StorCont,"PODS, Inc",510 504 6731,,05/18/2020,APPROVED,5076000,94115,05/29/2030,05/31/2030,1948 EDDY ST,925-596-4153,,,6001094.73807,2112509.37241,37.7806092274626,-122.439836877016,POINT (-122.439836877016 37.7806092274626)
20SSP-00222,OAK ST,WEBSTER ST,FILLMORE ST,StreetSpace,Buena Vista Builders Inc,415 863 6550,,05/07/2020,APPROVED,9756000,94117,05/11/2020,06/10/2020,668 OAK ST,415 863 6550,Obrian Buchanan,,6003791.67558,2110108.57734,37.7741703843412,-122.430335547482,POINT (-122.430335547482 37.7741703843412)
19TE-00056,SUTTER ST,HYDE ST,LARKIN ST,TankRemove,Golden Gate Tank Removal,415.512.1555,1500 Gallon Heating Oil UST,05/18/2020,APPROVED,12328000,94109,05/21/2020,06/18/2020,1000 SUTTER ST,(415)512-1555,Mario Novoa,,6007699.90366,2115154.07677,37.7882447093383,-122.417173854423,POINT (-122.417173854423 37.7882447093383)
